菜名	价格	分类	口味风格特点
宫保鸡丁	38	川菜	咸鲜香辣带微酸，鸡肉嫩爽搭配花生酥脆
清蒸鲈鱼	58	粤菜	鱼肉鲜嫩本味突出，原汁原味不油腻
红烧肉	48	本帮菜	肥瘦相间，酱香浓郁入口即化，甜咸适口
麻辣火锅	168	川渝菜	麻辣鲜香，锅底醇厚越煮越入味
番茄炒蛋	22	家常菜	酸甜浓郁咸鲜适中，百搭下饭神器
佛跳墙	198	闽菜	咸鲜醇厚，多材汇聚香气浓郁，营养丰富
糖醋排骨	42	杭帮菜	外酥里嫩，酱汁包裹酸甜开胃
葱爆羊肉	46	京菜	羊肉嫩而不膻，葱香浓郁温补开胃
蒜蓉开背虾	52	海鲜家常菜	蒜香浓郁，虾肉Q弹鲜美，清淡不腻
麻婆豆腐	26	川菜	豆腐细嫩，麻辣鲜香烫，下饭绝佳
西湖醋鱼	48	杭帮菜	酸甜适口，鱼肉细嫩，突出河鲜本味
干炒牛河	36	粤菜	锅气浓郁，牛肉嫩滑河粉筋道，咸鲜带甜
毛血旺	58	川菜	麻辣厚重，食材丰富，入味下饭
北京烤鸭	168	京菜	皮脆肉嫩，搭配卷饼甜面酱，油香不腻
东坡肉	52	浙菜	肥而不腻，红亮香甜，入口酥烂
辣子鸡	46	川菜	干香麻辣，外酥里嫩，越嚼越香
白切鸡	42	粤菜	皮爽肉嫩，原汁原味，蘸姜蓉食用突出鲜感
叫花鸡	88	苏菜	鸡肉酥嫩，香气渗入肉质，原汁原味咸香
剁椒鱼头	68	湘菜	鱼头鲜嫩，剁椒鲜辣入味，配面绝佳
拔丝地瓜	28	鲁菜	外脆里糯，香甜拉丝，甜度适中不腻
